district,square,price
Московский район,11.7,3300000
Московский район,15.29,2850000
Московский район,16.0,3700000
Московский район,16.0,3650000
Московский район,17.0,3700000
Приморский район,17.0,4500000
Приморский район,18.3,4500000
Московский район,18.4,4500000
Приморский район,18.4,4300000
Приморский район,18.6,5350000
Московский район,18.85,4790000
Пушкинский район,19.0,3999000
Приморский район,19.34,6062000
Московский район,19.4,5999000
Московский район,20.0,4950000
Московский район,20.1,4900000
Приморский район,20.27,6533000
Приморский район,20.3,6800000
Приморский район,20.3,5600000
Пушкинский район,20.5,4090000
Приморский район,20.6,6000000
Приморский район,20.68,6691000
Приморский район,20.68,6322000
Приморский район,20.75,5200000
Приморский район,20.8,5500000
Приморский район,20.8,7587000
Московский район,20.9,3750000
Приморский район,21.0,5100000
Приморский район,21.0,6900000
Приморский район,21.0,4390000
Приморский район,21.0,4600000
Приморский район,21.0,5100000
Пушкинский район,21.0,41100000
Пушкинский район,21.0,3680000
Пушкинский район,21.0,4300000
Приморский район,21.1,7100000
Приморский район,21.1,7100000
Приморский район,21.1,5200000
Приморский район,21.1,6500000
Приморский район,21.1,6500000
Московский район,21.14,5790000
Приморский район,21.2,4950000
Московский район,21.3,6700000
Приморский район,21.3,4799000
Приморский район,21.4,5200000
Приморский район,21.4,5200000
Приморский район,21.4,5621000
Московский район,21.47,5690000
Приморский район,21.6,5540000
Московский район,21.64,5900000
Московский район,21.64,5900000
Московский район,21.8,7100000
Приморский район,21.8,5290000
Московский район,21.9,7149000
Приморский район,22.0,4500000
Пушкинский район,22.0,3900000
Московский район,22.08,6700000
Приморский район,22.16,5015000
Пушкинский район,22.2,5250000
Московский район,22.3,6000000
Московский район,22.48,4950000
Московский район,22.6,5500000
Приморский район,22.6,5345000
Московский район,22.7,7900000
Московский район,22.74,5500000
Московский район,22.8,5150000
Московский район,23.0,6250000
Московский район,23.0,5150000
Московский район,23.0,6400000
Московский район,23.0,5650000
Приморский район,23.0,6500000
Пушкинский район,23.0,4900000
Пушкинский район,23.0,5400000
Пушкинский район,23.0,4500000
Московский район,23.03,5319000
Московский район,23.03,5372000
Приморский район,23.03,4800000
Московский район,23.1,5343000
Пушкинский район,23.1,4500000
Пушкинский район,23.1,4700000
Приморский район,23.2,4500000
Пушкинский район,23.2,5950000
Пушкинский район,23.2,2500000
Московский район,23.26,4840000
Пушкинский район,23.3,3900000
Пушкинский район,23.3,3450000
Приморский район,23.4,7650000
Приморский район,23.41,6180000
Московский район,23.5,4978000
Московский район,23.5,5200000
Московский район,23.6,6700000
Приморский район,23.6,5999000
Московский район,23.7,5300000
Приморский район,23.7,5700000
Приморский район,23.7,5499000
Приморский район,23.7,5400000
Приморский район,23.7,9000000
Московский район,23.79,4946000
Московский район,23.79,5053000
Приморский район,23.8,7150000
Приморский район,23.9,5300000
Приморский район,23.9,5600000
Приморский район,23.9,4750000
Московский район,24.0,6300000
Московский район,24.0,4700000
Московский район,24.0,5550000
Московский район,24.0,6800000
Московский район,24.0,5300000
Московский район,24.0,5000000
Московский район,24.0,5492000
Московский район,24.0,6350000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,6250000
Приморский район,24.0,5100000
Приморский район,24.0,4848000
Приморский район,24.0,5100000
Приморский район,24.0,5449000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,5820000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,5900000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,6390000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Приморский район,24.0,5100000
Пушкинский район,24.0,5100000
Московский район,24.1,7190000
Приморский район,24.1,5200000
Приморский район,24.1,5449000
Приморский район,24.1,5250000
Приморский район,24.12,5200000
Московский район,24.15,7691000
Московский район,24.2,6449000
Московский район,24.2,6200000
Московский район,24.2,8099000
Приморский район,24.2,6450000
Приморский район,24.2,5399000
Приморский район,24.2,5700000
Приморский район,24.2,6800000
Приморский район,24.2,4550000
Приморский район,24.2,5499000
Приморский район,24.2,4900000
Московский район,24.26,5050000
Приморский район,24.27,4700000
Московский район,24.3,6500000
Московский район,24.3,7200000
Приморский район,24.3,4840000
Пушкинский район,24.3,4700000
Московский район,24.35,6250000
Приморский район,24.35,8000000
Приморский район,24.4,5799000
Приморский район,24.4,5150000
Приморский район,24.4,5290000
Пушкинский район,24.4,4200000
Приморский район,24.43,5900000
Московский район,24.5,6199000
Приморский район,24.5,4250000
Приморский район,24.52,4400000
Московский район,24.56,4390000
Приморский район,24.57,6000000
Московский район,24.58,4850000
Приморский район,24.58,5700000
Приморский район,24.58,5500000
Московский район,24.6,4950000
Московский район,24.6,5770000
Приморский район,24.6,5800000
Приморский район,24.6,5700000
Приморский район,24.6,5200000
Приморский район,24.6,5200000
Приморский район,24.6,5100000
Приморский район,24.6,5150000
Приморский район,24.63,4700000
Московский район,24.7,5900000
Московский район,24.7,5770000
Московский район,24.7,8500000
Приморский район,24.7,5650000
Приморский район,24.7,5000000
Московский район,24.8,7000000
Московский район,24.8,5500000
Приморский район,24.8,6300000
Приморский район,24.8,5800000
Московский район,24.85,7381000
Приморский район,24.85,5850000
Московский район,24.9,5425000
Московский район,24.9,5000000
Приморский район,24.9,5400000
Пушкинский район,24.9,5400000
Пушкинский район,24.9,4350000
Приморский район,24.92,5200000
Московский район,25.0,5500000
Московский район,25.0,5980000
Московский район,25.0,8009000
Московский район,25.0,6000000
Московский район,25.0,7050000
Приморский район,25.0,5800000
Приморский район,25.0,5000000
Приморский район,25.0,4950000
Приморский район,25.0,6000000
Приморский район,25.0,4900000
Приморский район,25.0,5150000
Приморский район,25.0,5100000
Приморский район,25.0,5650000
Приморский район,25.0,5625000
Приморский район,25.0,4900000
Пушкинский район,25.0,4000000
Приморский район,25.02,5300000
Московский район,25.1,5106000
Приморский район,25.1,4380000
Приморский район,25.1,5950000
Пушкинский район,25.1,3980000
Пушкинский район,25.1,4000000
Приморский район,25.2,5750000
Пушкинский район,25.2,3750000
Пушкинский район,25.2,4900000
Пушкинский район,25.2,5000000
Московский район,25.3,6449000
Приморский район,25.4,5600000
Приморский район,25.4,5100000
Пушкинский район,25.4,5250000
Пушкинский район,25.4,5000000
Московский район,25.46,5105000
Московский район,25.47,7600000
Приморский район,25.48,5700000
Московский район,25.57,5600000
Московский район,25.6,4570000
Московский район,25.6,4750000
Приморский район,25.6,5499000
Приморский район,25.6,6950000
Пушкинский район,25.6,4790000
Московский район,25.63,7550000
Приморский район,25.65,5300000
Приморский район,25.66,5000000
Московский район,25.7,7400000
Приморский район,25.7,5250000
Пушкинский район,25.7,3450000
Пушкинский район,25.7,4990000
Московский район,25.8,6400000
Московский район,25.8,4550000
Приморский район,25.8,6500000
Московский район,25.86,7450000
Приморский район,25.9,5000000
Московский район,26.0,6290000
Московский район,26.0,7500000
Московский район,26.0,5600000
Московский район,26.0,6200000
Московский район,26.0,4750000
Московский район,26.0,5690000
Московский район,26.0,11300000
Приморский район,26.0,7300000
Приморский район,26.0,5350000
Приморский район,26.0,5750000
Приморский район,26.0,5700000
Пушкинский район,26.0,3400000
Пушкинский район,26.0,3250000
Пушкинский район,26.0,3550000
Московский район,26.1,7950000
Московский район,26.2,4250000
Пушкинский район,26.2,5835000
Приморский район,26.3,6800000
Московский район,26.4,6150000
Пушкинский район,26.4,5100000
Пушкинский район,26.4,4360000
Московский район,26.5,6200000
Московский район,26.5,6950000
Московский район,26.5,6200000
Приморский район,26.5,6500000
Московский район,26.7,6000000
Московский район,26.8,7500000
Московский район,26.8,7600000
Московский район,26.8,7500000
Московский район,26.8,7900000
Приморский район,26.8,5850000
Приморский район,26.9,6000000
Московский район,26.93,5500000
Московский район,27.0,6570000
Московский район,27.0,7000000
Московский район,27.0,6100000
Приморский район,27.0,7150000
Приморский район,27.0,7450000
Приморский район,27.0,7000000
Приморский район,27.0,5150000
Пушкинский район,27.0,4700000
Приморский район,27.07,4999000
Московский район,27.13,11123000
Московский район,27.16,6820000
Московский район,27.17,6374000
Московский район,27.2,11970000
Московский район,27.2,6800000
Пушкинский район,27.2,4800000
Пушкинский район,27.26,4865000
Московский район,27.3,6700000
Пушкинский район,27.3,4900000
Приморский район,27.4,7200000
Московский район,27.62,6362000
Московский район,27.62,6186000
Московский район,27.7,14000000
Московский район,27.8,9200000
Московский район,27.8,8300000
Приморский район,27.9,4900000
Московский район,28.0,6700000
Московский район,28.0,6500000
Московский район,28.0,9800000
Московский район,28.0,7200000
Московский район,28.0,6100000
Приморский район,28.0,5849000
Пушкинский район,28.0,5850000
Пушкинский район,28.0,4690000
Московский район,28.08,5212000
Пушкинский район,28.08,4399000
Приморский район,28.1,6500000
Пушкинский район,28.2,4650000
Приморский район,28.3,7500000
Пушкинский район,28.3,6850000
Приморский район,28.33,7000000
Московский район,28.4,6850000
Пушкинский район,28.4,5890000
Московский район,28.5,6600000
Московский район,28.5,6100000
Приморский район,28.58,5800000
Пушкинский район,28.6,5550000
Пушкинский район,28.6,4999000
Пушкинский район,28.6,4700000
Пушкинский район,28.7,4600000
Московский район,28.8,6000000
Московский район,28.8,6540000
Приморский район,28.8,5000000
Приморский район,28.93,8048000
Приморский район,28.93,8048000
Пушкинский район,28.93,4300000
Московский район,29.0,5499000
Московский район,29.0,7000000
Московский район,29.0,7050000
Московский район,29.0,6750000
Московский район,29.0,7750000
Московский район,29.0,7500000
Московский район,29.0,6300000
Московский район,29.0,7800000
Приморский район,29.0,6600000
Приморский район,29.0,6600000
Приморский район,29.0,7000000
Московский район,29.05,5159000
Московский район,29.1,7000000
Пушкинский район,29.1,5250000
Московский район,29.2,9300000
Приморский район,29.3,5350000
Пушкинский район,29.33,4949000
Московский район,29.37,6600000
Московский район,29.4,6299000
Пушкинский район,29.5,8000000
Московский район,29.7,6250000
Московский район,29.72,8827000
Московский район,29.82,4900000
Пушкинский район,29.9,4050000
Пушкинский район,29.9,4800000
Московский район,30.0,5650000
Московский район,30.0,5499000
Московский район,30.0,6300000
Приморский район,30.0,6000000
Приморский район,30.0,7350000
Приморский район,30.0,7500000
Приморский район,30.0,7150000
Пушкинский район,30.0,5950000
Пушкинский район,30.0,5300000
Московский район,30.1,7100000
Приморский район,30.1,7150000
Приморский район,30.1,8100000
Пушкинский район,30.1,4490000
Московский район,30.2,5880000
Приморский район,30.2,6280000
Приморский район,30.2,6280000
Приморский район,30.3,7000000
Московский район,30.4,8690000
Московский район,30.4,7500000
Московский район,30.4,5000000
Приморский район,30.4,6450000
Московский район,30.5,5900000
Московский район,30.5,7200000
Московский район,30.5,6400000
Московский район,30.5,10800000
Приморский район,30.5,6700000
Пушкинский район,30.5,5490000
Пушкинский район,30.5,5500000
Московский район,30.54,6400000
Московский район,30.6,6900000
Московский район,30.6,6200000
Приморский район,30.6,6000000
Пушкинский район,30.6,4700000
Московский район,30.7,6150000
Московский район,30.7,5750000
Приморский район,30.7,7250000
Приморский район,30.7,5950000
Приморский район,30.7,7000000
Московский район,30.8,5400000
Московский район,30.8,6099000
Московский район,30.8,5900000
Московский район,30.8,4795000
Приморский район,30.8,6590000
Приморский район,30.8,6250000
Приморский район,30.8,7400000
Приморский район,30.8,6650000
Приморский район,30.8,7700000
Приморский район,30.8,5140000
Приморский район,30.8,7300000
Приморский район,30.8,7350000
Пушкинский район,30.8,4250000
Московский район,30.9,6049000
Приморский район,30.9,7490000
Приморский район,30.9,7200000
Пушкинский район,30.9,4999000
Московский район,31.0,8500000
Московский район,31.0,6200000
Московский район,31.0,6100000
Московский район,31.0,7100000
Московский район,31.0,5550000
Московский район,31.0,5500000
Приморский район,31.0,6970000
Приморский район,31.0,6400000
Приморский район,31.0,6600000
Приморский район,31.0,8700000
Приморский район,31.0,6250000
Приморский район,31.0,7000000
Пушкинский район,31.0,4100000
Пушкинский район,31.0,6700000
Пушкинский район,31.0,7200000
Пушкинский район,31.0,4680000
Пушкинский район,31.0,4000000
Московский район,31.1,6250000
Московский район,31.1,6250000
Московский район,31.1,5550000
Московский район,31.2,6300000
Московский район,31.2,6700000
Приморский район,31.2,6900000
Приморский район,31.2,5950000
Приморский район,31.2,6300000
Пушкинский район,31.2,3990000
Пушкинский район,31.2,3980000
Приморский район,31.3,6950000
Приморский район,31.3,6550000
Московский район,31.33,5914000
Московский район,31.4,8500000
Московский район,31.4,6300000
Московский район,31.4,5977000
Пушкинский район,31.4,6300000
Московский район,31.5,7000000
Приморский район,31.5,7500000
Приморский район,31.5,6950000
Пушкинский район,31.5,4440000
Приморский район,31.56,6450000
Московский район,31.6,6710000
Московский район,31.6,10200000
Приморский район,31.6,8500000
Приморский район,31.6,5500000
Приморский район,31.6,9900000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4499000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Пушкинский район,31.6,4700000
Московский район,31.7,7200000
Московский район,31.7,5999000
Московский район,31.7,7500000
Московский район,31.7,6000000
Московский район,31.7,6999000
Московский район,31.7,5600000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,4300000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Пушкинский район,31.7,5100000
Приморский район,31.8,6190000
Пушкинский район,31.8,8200000
Московский район,31.9,5850000
Приморский район,31.91,7250000
Московский район,32.0,7300000
Московский район,32.0,6100000
Московский район,32.0,6280000
Московский район,32.0,6480000
Приморский район,32.0,7100000
Приморский район,32.0,6744000
Приморский район,32.0,7000000
Приморский район,32.0,6750000
Приморский район,32.0,7290000
Пушкинский район,32.0,4200000
Пушкинский район,32.0,5650000
Пушкинский район,32.0,4990000
Пушкинский район,32.0,6300000
Пушкинский район,32.0,6250000
Пушкинский район,32.0,4500000
Московский район,32.1,6050000
Московский район,32.1,7190000
Московский район,32.1,6720000
Приморский район,32.1,7000000
Пушкинский район,32.1,5600000
Пушкинский район,32.1,3790000
Приморский район,32.2,6950000
Приморский район,32.2,8100000
Приморский район,32.2,6700000
Приморский район,32.2,5200000
Приморский район,32.2,8500000
Приморский район,32.2,7000000
Приморский район,32.3,5700000
Приморский район,32.3,7050000
Приморский район,32.3,10830000
Приморский район,32.3,6800000
Приморский район,32.3,8507000
Приморский район,32.4,6480000
Московский район,32.6,6650000
Приморский район,32.6,7700000
Приморский район,32.6,6899000
Пушкинский район,32.7,5199000
